timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2019-01-02T00:00:00.000Z";"2019-01-02T23:59:59.999Z";"2019-01-02T21:10:16.000Z";"2019-01-02T16:47:22.000Z";"2781";1.0120291258;1.0197081113;1.0072699942;1.0186847413;57073643.24;210227305.289836;"2019-01-02T23:59:59.999Z"
"2019-01-01T00:00:00.000Z";"2019-01-01T23:59:59.999Z";"2019-01-01T14:02:19.000Z";"2019-01-01T23:22:17.000Z";"2781";1.0153569417;1.0190050582;1.0069794388;1.0116770345;38102380.85;209271175.053127;"2019-01-01T23:59:59.999Z"
"2018-12-31T00:00:00.000Z";"2018-12-31T23:59:59.999Z";"2018-12-31T19:47:38.000Z";"2018-12-31T03:24:17.000Z";"2781";1.0119041478;1.0246692762;1.0042199841;1.0147078961;49184193.97;207986469.591003;"2018-12-31T23:59:59.999Z"
"2018-12-30T00:00:00.000Z";"2018-12-30T23:59:59.999Z";"2018-12-30T00:17:19.000Z";"2018-12-30T09:00:13.000Z";"2781";1.021300555;1.0257364931;1.0100461991;1.01146037;47063762.97;207286489.453416;"2018-12-30T23:59:59.999Z"
"2018-12-29T00:00:00.000Z";"2018-12-29T23:59:59.999Z";"2018-12-29T23:48:14.000Z";"2018-12-29T21:19:20.000Z";"2781";1.0120374994;1.0365033266;1.0054805311;1.0210940772;55522929.06;210285309.701378;"2018-12-29T23:59:59.999Z"
"2018-12-28T00:00:00.000Z";"2018-12-28T23:59:59.999Z";"2018-12-28T00:39:18.000Z";"2018-12-28T15:39:18.000Z";"2781";1.0160220991;1.0189108105;0.9898257572;1.0115689139;68367499.83;208457470.456999;"2018-12-28T23:59:59.999Z"
"2018-12-27T00:00:00.000Z";"2018-12-27T23:59:59.999Z";"2018-12-27T19:08:20.000Z";"2018-12-27T11:58:17.000Z";"2781";1.0161427582;1.0298389036;1.0105633895;1.0164253333;65308414.51;210266432.910156;"2018-12-27T23:59:59.999Z"
"2018-12-26T00:00:00.000Z";"2018-12-26T23:59:59.999Z";"2018-12-26T14:46:19.000Z";"2018-12-26T01:24:23.000Z";"2781";1.0133884051;1.0204661188;1.005646528;1.0136133444;65790508.79;208916909.26589;"2018-12-26T23:59:59.999Z"
"2018-12-25T00:00:00.000Z";"2018-12-25T23:59:59.999Z";"2018-12-25T00:23:20.000Z";"2018-12-25T20:04:21.000Z";"2781";1.0118264697;1.027294611;1.0056332315;1.0114564717;88892449.66;209086052.63759;"2018-12-25T23:59:59.999Z"
"2018-12-24T00:00:00.000Z";"2018-12-24T23:59:59.999Z";"2018-12-24T16:02:19.000Z";"2018-12-24T00:48:23.000Z";"2781";1.0121627184;1.0186172406;1.002409404;1.0105324797;85495649.7;208895047.045716;"2018-12-24T23:59:59.999Z"
"2018-12-23T00:00:00.000Z";"2018-12-23T23:59:59.999Z";"2018-12-23T15:03:17.000Z";"2018-12-23T16:12:21.000Z";"2781";1.0100426272;1.0191524919;1.0083978308;1.012384427;55282926.16;210509014.49956;"2018-12-23T23:59:59.999Z"
"2018-12-22T00:00:00.000Z";"2018-12-22T23:59:59.999Z";"2018-12-22T16:10:21.000Z";"2018-12-22T23:14:20.000Z";"2781";1.0126094592;1.0188070026;0.998595639;1.0137241575;46876477.78;210866621.813473;"2018-12-22T23:59:59.999Z"
"2018-12-21T00:00:00.000Z";"2018-12-21T23:59:59.999Z";"2018-12-21T19:35:17.000Z";"2018-12-21T12:39:23.000Z";"2781";1.0187846125;1.0216422261;1.0060472723;1.0156051427;77128069.83;211323821.515042;"2018-12-21T23:59:59.999Z"
"2018-12-20T00:00:00.000Z";"2018-12-20T23:59:59.999Z";"2018-12-20T20:11:19.000Z";"2018-12-20T08:22:20.000Z";"2781";1.0198936989;1.024477241;1.0077930186;1.0169928336;86507148.74;213120688.928355;"2018-12-20T23:59:59.999Z"
"2018-12-19T00:00:00.000Z";"2018-12-19T23:59:59.999Z";"2018-12-19T21:36:17.000Z";"2018-12-19T11:11:18.000Z";"2781";1.0125918474;1.020588653;1.0080065649;1.0180371671;71690303.25;215130490.224518;"2018-12-19T23:59:59.999Z"
"2018-12-18T00:00:00.000Z";"2018-12-18T23:59:59.999Z";"2018-12-18T08:55:18.000Z";"2018-12-18T08:17:21.000Z";"2781";1.0177503075;1.0225436849;1.0066239794;1.0145379451;55525766.44;215300013.35279;"2018-12-18T23:59:59.999Z"
"2018-12-17T00:00:00.000Z";"2018-12-17T23:59:59.999Z";"2018-12-17T06:32:10.000Z";"2018-12-17T12:16:17.000Z";"2781";1.0186827531;1.022530264;1.0069795198;1.0172685569;46558693.49;215429301.583439;"2018-12-17T23:59:59.999Z"
"2018-12-16T00:00:00.000Z";"2018-12-16T23:59:59.999Z";"2018-12-16T15:23:24.000Z";"2018-12-16T02:33:24.000Z";"2781";1.0167692085;1.0225944709;1.0133585925;1.0180103429;29656139.86;215657346.629233;"2018-12-16T23:59:59.999Z"
"2018-12-15T00:00:00.000Z";"2018-12-15T23:59:59.999Z";"2018-12-15T10:07:23.000Z";"2018-12-15T04:30:23.000Z";"2781";1.0160380275;1.0198572399;1.0126524324;1.0159138141;30433296.77;215213213.771848;"2018-12-15T23:59:59.999Z"
